epoch,accuracy,loss,val_accuracy,val_loss
0,0.798,0.6020256527932282,0.91104764,0.2958936518146878
1,0.9207863,0.2629594778861755,0.9471746,0.178206659194969
2,0.9514017,0.1661494270838224,0.96171427,0.13616741781244202
3,0.96521366,0.12401200156206758,0.9737143,0.09870135766622566
4,0.97326493,0.09880953123388637,0.9628254,0.12103276552472796
5,0.97796583,0.08189719544567614,0.9815238,0.07414886205063925
6,0.97991455,0.07527626883302234,0.98396826,0.062492909552795545
7,0.982906,0.06401883964578056,0.9765397,0.0822908946956907
8,0.98367524,0.06140156519349314,0.9825714,0.0684542459774585
9,0.9863248,0.05443129073096137,0.988127,0.04998075031832097
