epoch,accuracy,loss,val_accuracy,val_loss
0,0.8862906,0.37865285953904826,0.95307934,0.18510012442346604
1,0.9651624,0.14523595028555292,0.9643492,0.1417154980803293
2,0.9762222,0.10498344900872972,0.97650796,0.10119343630094377
3,0.9817436,0.08105595417384409,0.98596823,0.06632002247184042
4,0.9844957,0.07183430310752657,0.9584444,0.1607729892068439
5,0.98899144,0.05569753690598867,0.98444444,0.06265955850907734
6,0.98741883,0.05613672685355712,0.9828254,0.06906711408543208
7,0.9904444,0.044326938690156,0.9880952,0.051769689920402706
8,0.990547,0.042460260103846716,0.9835873,0.06251096146802107
9,0.9919316,0.03977979100215384,0.98974603,0.043770924527966784
